emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt
frustrated,0.594,0.4185,0.0894,4.1001
frustrated,0.2324,0.548,0.0182,-20.4231
frustrated,0.3158,0.3313,0.009,6.9524
frustrated,0.3582,0.432,0.2143,0.7606
frustrated,0.4836,0.5687,0.2806,19.0047
frustrated,0.3787,0.3832,0.0477,-0.3075
frustrated,0.2089,0.4657,0.2793,-10.4501
frustrated,0.3183,0.4456,0.0043,-2.9255
frustrated,0.2243,0.5024,0.252,-11.0143
frustrated,0.2792,0.455,0.0471,-8.0951
frustrated,0.272,0.4103,0.133,-1.4974
frustrated,0.4406,0.4147,0.2093,6.6421
frustrated,0.273,0.5147,0.146,-1.4185
frustrated,0.3976,0.3558,0.9125,2.8006
frustrated,0.1985,0.3271,0.0075,3.9291
frustrated,0.262,0.464,0.0543,-17.3838
frustrated,0.2892,0.3634,0.194,-12.907
frustrated,0.3347,0.4804,0.0109,10.1686
frustrated,0.3869,0.3815,0.2947,6.203
frustrated,0.1611,0.3683,0.02,-8.8927
frustrated,0.3334,0.4116,0.0549,-4.8743
frustrated,0.3879,0.4214,0.6223,5.0251
frustrated,0.3206,0.3546,0.0107,-4.4406
frustrated,0.2102,0.3218,0.2836,-5.1814
frustrated,0.4423,0.4244,0.1657,-1.3425
frustrated,0.1616,0.0748,0.0486,-19.641
frustrated,0.2243,0.3869,0.0083,0.0833
frustrated,0.2897,0.3858,0.2504,-1.1212
frustrated,0.2913,0.4191,0.0237,3.3295
frustrated,0.3159,0.4101,0.4235,-6.5831
frustrated,0.1737,0.3401,0.0131,10.3308
frustrated,0.3998,0.5472,0.0592,-0.9114
frustrated,0.4134,0.5121,0.0115,-4.6812
frustrated,0.3583,0.454,0.0204,-3.7089
frustrated,0.2989,0.4208,0.0142,3.7025
frustrated,0.3627,0.3494,0.5693,-27.3658
frustrated,0.2217,0.3021,0.0122,-8.5764
frustrated,0.255,0.3291,0.4866,-5.7212
frustrated,0.2312,0.3463,0.1407,2.4848
frustrated,0.452,0.4086,0.3024,1.1233
frustrated,0.3435,0.3915,0.1797,-6.212
frustrated,0.3839,0.4797,0.2535,7.4925
frustrated,0.3112,0.3451,0.006,1.2204
frustrated,0.2791,0.4677,0.4563,-11.367
frustrated,0.0646,0.425,0.8132,-1.2583
frustrated,0.3415,0.476,0.0161,-11.4084
frustrated,0.1165,0.4552,0.4247,7.5831
frustrated,0.2734,0.2215,0.1122,62.4189
frustrated,0.2778,0.3093,0.7842,0.7934
frustrated,0.1551,0.3805,0.0596,1.1638
frustrated,0.3308,0.409,0.0447,-4.5326
frustrated,0.2405,0.4337,0.4692,-4.4668
frustrated,0.3461,0.403,0.7628,0.8815
frustrated,0.3246,0.4799,0.2757,-18.8597
frustrated,0.2797,0.4871,0.0032,9.8587
frustrated,0.42,0.3242,0.142,-7.4403
frustrated,0.254,0.2515,0.185,11.0253
frustrated,0.2343,0.5893,0.0011,13.223
frustrated,0.3138,0.4,0.058,-8.1201
frustrated,0.2623,0.3854,0.0997,3.1111
frustrated,0.2999,0.4963,0.0213,2.6063
frustrated,0.3663,0.4428,0.035,-1.0639
frustrated,0.1153,0.4589,0.0447,7.2734
frustrated,0.1809,0.5045,0.6403,-5.6552
frustrated,0.2172,0.6539,0.0144,-2.3479
frustrated,0.2657,0.4286,0.3911,-7.8079
frustrated,0.3447,0.4061,0.0045,2.2448
frustrated,0.274,0.3501,0.0077,-6.5609
frustrated,0.3403,0.4149,0.0911,2.6804
frustrated,0.0318,0.4289,0.5623,3.2978
frustrated,0.3587,0.307,0.2199,-6.9893
frustrated,0.3228,0.3299,0.7199,-1.6528
frustrated,0.3084,0.2892,0.2281,6.6444
frustrated,0.2718,0.4729,0.4372,-7.6762
frustrated,0.3266,0.2496,0.2996,-26.9947
frustrated,0.3949,0.4442,0.0131,-5.1687
frustrated,0.1794,0.4944,0.0147,-1.5997
frustrated,0.2912,0.4054,0.0173,3.0493
frustrated,0.3269,0.4106,0.0701,-18.6115
frustrated,0.3758,0.5088,0.285,14.0172
frustrated,0.2861,0.3629,0.0476,3.9028
frustrated,0.161,0.3663,0.4414,0.1121
frustrated,0.2669,0.4047,0.0301,-36.1534
frustrated,0.2577,0.3795,0.0208,-30.2285
frustrated,0.1893,0.4794,0.1304,18.2417
frustrated,0.3609,0.4901,0.4031,-3.1479
frustrated,0.2014,0.3497,0.6115,7.9718
frustrated,0.2527,0.3904,0.4508,-6.3172
frustrated,0.2747,0.4778,0.0048,-0.2083
frustrated,0.3032,0.4614,0.0174,-2.6195
frustrated,0.1964,0.5307,0.027,-2.5604
frustrated,0.3115,0.3439,0.1182,7.3011
frustrated,0.4174,0.4699,0.0818,1.2674
frustrated,0.342,0.4148,0.4465,-0.7653
frustrated,0.43,0.3842,0.2537,-3.8819
frustrated,0.3628,0.4579,0.0487,36.8023
frustrated,0.3096,0.429,0.0896,4.0877
frustrated,0.0689,0.3609,0.0639,4.3082
frustrated,0.0976,0.4175,0.6497,0.9194
frustrated,0.3367,0.469,0.01,7.9009
frustrated,0.3125,0.3753,0.0068,19.9442
frustrated,0.1682,0.3607,0.3091,-22.9786
frustrated,0.3748,0.4194,0.3745,21.1742
frustrated,0.3802,0.4597,0.0672,-7.7392
frustrated,0.338,0.3703,0.6787,-0.7922
frustrated,0.3413,0.4817,0.0198,-29.5653
frustrated,0.1774,0.4365,0.2018,-1.118
frustrated,0.269,0.3554,0.0498,0.3503
