emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt
focused,0.2695,0.3487,0.172,22.4745
focused,0.4296,0.4764,0.004,-16.6437
focused,0.1988,0.42,0.0063,0.925
focused,0.3826,0.3294,0.0227,-11.8734
focused,0.1492,0.4293,0.2141,6.6137
focused,0.3296,0.4145,0.3551,-2.3573
focused,0.323,0.4883,0.0479,4.3954
focused,0.3589,0.3826,0.0359,-11.878
focused,0.3951,0.4613,0.227,-6.4139
focused,0.4661,0.5347,0.3893,-22.2741
focused,0.1549,0.2989,0.5191,-5.3633
focused,0.3728,0.4016,0.1571,10.5603
focused,0.2177,0.3395,0.0871,7.379
focused,0.3236,0.5937,0.1194,0.2987
focused,0.1503,0.4217,0.0221,-6.2741
focused,0.2424,0.5401,0.2166,13.4538
focused,0.3121,0.4435,0.1634,-0.2117
focused,0.1869,0.3639,0.0268,-10.8655
focused,0.1272,0.3578,0.1799,0.0616
focused,0.2615,0.4358,0.2222,-17.8932
focused,0.3139,0.4558,0.3408,-15.667
focused,0.3138,0.5125,0.1879,5.1303
focused,0.155,0.2972,0.091,28.603
focused,0.3458,0.3286,0.2403,3.3165
focused,0.2176,0.401,0.2606,-3.6126
focused,0.1468,0.3059,0.1959,-10.4746
focused,0.3057,0.4771,0.2844,-2.8817
focused,0.3684,0.4588,0.3642,-1.7754
focused,0.2234,0.3881,0.1614,7.0576
focused,0.0976,0.3706,0.2401,4.0776
focused,0.2658,0.3928,0.3132,-3.645
focused,0.3147,0.5094,0.1558,4.8505
focused,0.3429,0.4348,0.0058,-2.7057
focused,0.2284,0.3976,0.1875,-0.0688
focused,0.2806,0.2629,0.5694,0.6803
focused,0.2408,0.3804,0.3144,12.5847
focused,0.2367,0.3762,0.5391,1.3968
focused,0.2838,0.4278,0.1515,5.7893
focused,0.1372,0.4418,0.1296,-0.327
focused,0.1882,0.403,0.284,6.6123
focused,0.1824,0.3219,0.4484,24.4096
focused,0.2812,0.3798,0.1663,8.6002
focused,0.2896,0.5541,0.1427,5.0426
focused,0.3269,0.34,0.2336,-28.9651
focused,0.4313,0.5057,0.5949,-4.0151
focused,0.2715,0.457,0.0899,-0.3862
focused,0.3431,0.4612,0.2465,4.1873
focused,0.3102,0.519,0.2138,7.12
focused,0.1685,0.4299,0.1405,-5.9917
focused,0.3889,0.4657,0.1962,15.114
focused,0.2707,0.4278,0.0786,-9.3255
focused,0.3947,0.3504,0.4505,9.1639
focused,0.2564,0.4456,0.245,-17.9836
focused,0.2622,0.4731,0.0364,-3.5459
focused,0.2745,0.4631,0.1811,0.6807
focused,0.3869,0.5064,0.2763,6.3159
focused,0.3385,0.5067,0.1489,2.4749
focused,0.2487,0.4303,0.2168,-6.8592
focused,0.3531,0.4997,0.1621,5.309
focused,0.3723,0.3959,0.5136,-22.6402
focused,0.1066,0.3318,0.2064,32.6303
focused,0.1795,0.3279,0.2405,7.5948
focused,0.3701,0.4554,0.3929,1.4815
focused,0.2991,0.394,0.2386,1.1033
focused,0.1219,0.4401,0.2686,4.9858
focused,0.2773,0.3453,0.3301,12.4161
focused,0.1016,0.4484,0.273,-0.1394
focused,0.2655,0.3828,0.1281,5.6024
focused,0.2675,0.4048,0.1016,-0.1072
focused,0.2082,0.4353,0.084,-4.484
focused,0.3453,0.4778,0.1657,-4.7868
focused,0.2483,0.579,0.2004,3.6635
focused,0.2599,0.4672,0.1462,0.0345
focused,0.2697,0.447,0.0922,1.657
focused,0.3367,0.5945,0.1224,-14.9764
focused,0.2711,0.5403,0.1137,26.5999
focused,0.2143,0.3263,0.2044,-11.4807
focused,0.2753,0.4526,0.0134,0.5066
focused,0.3775,0.469,0.0264,4.705
focused,0.4017,0.4512,0.1251,-5.5945
focused,0.2494,0.4429,0.2104,17.9634
focused,0.3023,0.4291,0.2521,0.0605
focused,0.1125,0.4654,0.5962,-9.0652
focused,0.2441,0.3165,0.2259,-14.9409
focused,0.2563,0.4936,0.0961,-4.049
focused,0.3178,0.2913,0.2325,-13.976
focused,0.2615,0.4757,0.1905,-3.6593
focused,0.3455,0.4356,0.1505,-0.8781
focused,0.2762,0.5114,0.2589,1.1747
focused,0.4002,0.5299,0.0287,-6.537
focused,0.2691,0.4389,0.1937,-2.0701
focused,0.3236,0.5937,0.1194,0.2987
focused,0.1773,0.3081,0.4549,-9.3659
focused,0.3794,0.3819,0.3076,-2.4651
focused,0.4484,0.4537,0.316,-4.5496
focused,0.2802,0.3014,0.5228,10.8641
focused,0.3571,0.5309,0.1902,-17.7932
focused,0.35,0.3337,0.1518,-0.9243
focused,0.1875,0.3878,0.1335,6.1082
focused,0.1622,0.3657,0.1223,-4.7022
focused,0.3463,0.3585,0.2074,-14.6411
focused,0.3251,0.4483,0.2946,3.0647
focused,0.4366,0.5264,0.0211,14.3776
focused,0.1987,0.3813,0.2312,10.6051
focused,0.1331,0.2723,0.2252,-12.0841
focused,0.3098,0.2896,0.244,13.934
focused,0.2342,0.3795,0.4411,40.1152
focused,0.2954,0.265,0.1184,1.3643
focused,0.3342,0.4227,0.1511,-8.158
focused,0.2889,0.3656,0.0063,40.927
focused,0.2782,0.4734,0.3493,21.0214
focused,0.1861,0.454,0.3064,3.0213
focused,0.3878,0.4276,0.2737,1.6109
focused,0.282,0.4619,0.1832,0.4661
focused,0.0347,0.3863,0.0654,33.3147
focused,0.4018,0.398,0.5898,-11.7492
focused,0.1483,0.3648,0.2135,5.3828
focused,0.1858,0.4103,0.1756,-8.9929
focused,0.1792,0.543,0.0876,-4.6741
focused,0.362,0.5898,0.0411,-29.5526
focused,0.358,0.4141,0.3279,-1.3616
focused,0.239,0.5075,0.2143,-11.1475
focused,0.3192,0.4797,0.1051,4.7404
focused,0.3295,0.4707,0.036,-3.6707
focused,0.2383,0.3992,0.3505,-7.0693
focused,0.2333,0.5142,0.1633,-8.5162
focused,0.2598,0.2454,0.2299,-16.1088
focused,0.3981,0.4279,0.3725,5.2905
focused,0.2815,0.5382,0.0515,-3.4249
focused,0.2887,0.4794,0.2518,-1.2278
focused,0.2862,0.4348,0.0501,-2.7607
focused,0.2342,0.533,0.2354,21.0192
focused,0.3789,0.4051,0.2126,1.5627
focused,0.3504,0.4936,0.1812,-3.2257
focused,0.2984,0.3487,0.1989,-14.0513
focused,0.1553,0.5512,0.1181,16.4037
focused,0.3563,0.495,0.1556,-6.3505
focused,0.2183,0.5371,0.0644,-6.1821
focused,0.1501,0.3629,0.4753,30.2103
focused,0.1605,0.4552,0.3374,8.7395
focused,0.3312,0.3937,0.2741,-0.3701
focused,0.349,0.4951,0.5554,8.7336
focused,0.0545,0.4543,0.0893,3.7364
focused,0.2728,0.3754,0.1833,-5.1726
focused,0.3315,0.467,0.2282,-15.0549
focused,0.1458,0.3727,0.5278,6.1013
focused,0.3012,0.4664,0.2019,-9.1423
focused,0.2393,0.5297,0.2933,-0.5655
focused,0.3211,0.4792,0.0072,-4.215
focused,0.3593,0.4813,0.2381,-2.9855
focused,0.2787,0.5221,0.0137,-5.8365
focused,0.3406,0.472,0.2175,15.243
focused,0.2729,0.4946,0.063,-2.6862
focused,0.1359,0.3866,0.3317,16.0089
focused,0.4478,0.4222,0.3575,0.9785
focused,0.1269,0.4679,0.1373,2.0562
focused,0.2442,0.4715,0.3969,9.2755
focused,0.1969,0.4017,0.2982,-9.1805
focused,0.25,0.4507,0.0255,-0.9468
focused,0.2054,0.4186,0.1217,-8.6584
focused,0.3179,0.369,0.3061,-7.7009
focused,0.1261,0.3288,0.1343,-1.9147
focused,0.3711,0.4683,0.0991,9.4798
focused,0.2435,0.4043,0.6555,18.9156
focused,0.1606,0.4303,0.0773,0.2062
focused,0.0617,0.3353,0.4305,13.6356
focused,0.2967,0.3985,0.2334,5.5663
focused,0.2934,0.441,0.1171,-5.0191
focused,0.0309,0.4394,0.0724,33.9896
focused,0.2731,0.3385,0.1427,-3.7643
focused,0.1774,0.3901,0.1903,0.5287
focused,0.3444,0.4194,0.3393,-4.0466
focused,0.3618,0.3901,0.7179,2.3327
focused,0.2643,0.3547,0.0104,2.1509
focused,0.2593,0.3665,0.1848,-0.9193
focused,0.1479,0.4638,0.1674,2.918
focused,0.1202,0.2855,0.0637,3.2413
focused,0.1803,0.3378,0.2755,11.4658
focused,0.0497,0.48,0.2298,9.9226
focused,0.3182,0.4383,0.01,12.6215
focused,0.4265,0.5226,0.1358,-4.6364
focused,0.2517,0.3484,0.3282,15.3549
focused,0.3751,0.31,0.4194,0.0738
focused,0.2834,0.4713,0.0484,0.1206
focused,0.2731,0.4442,0.1711,-3.0446
focused,0.3125,0.6062,0.1303,11.532
focused,0.2318,0.3536,0.6373,10.4442
focused,0.1021,0.4183,0.0043,-6.1097
focused,0.2525,0.4362,0.5392,-5.521
focused,0.3605,0.4663,0.131,19.5805
focused,0.3674,0.4982,0.1806,-14.6629
focused,0.1391,0.3677,0.3279,13.9896
focused,0.4111,0.3667,0.2196,6.2749
focused,0.1423,0.3941,0.1622,-2.5559
focused,0.3597,0.5522,0.0789,-1.2106
focused,0.2341,0.407,0.5064,-0.7256
focused,0.3542,0.3815,0.4731,-12.6288
focused,0.1663,0.3418,0.6158,-7.4425
focused,0.1349,0.3499,0.1969,-1.9507
focused,0.0392,0.4356,0.3688,-0.1687
focused,0.4227,0.5207,0.3685,-5.5845
focused,0.326,0.4025,0.2842,-23.2934
focused,0.3385,0.4189,0.1812,-0.6331
focused,0.3797,0.4676,0.1325,-6.0013
focused,0.0476,0.3475,0.2117,8.7683
focused,0.0768,0.3383,0.2105,0.1929
focused,0.1921,0.4516,0.229,-11.185
focused,0.1874,0.4211,0.3732,-2.5822
focused,0.3762,0.4229,0.258,-8.2937
focused,0.0818,0.4362,0.2699,-0.0517
focused,0.0835,0.498,0.2543,17.9582
focused,0.305,0.4413,0.1878,0.0123
focused,0.2419,0.4163,0.0226,-2.7856
focused,0.3534,0.427,0.1544,6.2371
focused,0.3302,0.431,0.1898,1.9395
focused,0.4914,0.4908,0.0549,-2.4823
focused,0.3224,0.4939,0.0809,-0.0086
focused,0.2445,0.481,0.1238,2.6643
focused,0.2725,0.3857,0.1999,-8.1003
focused,0.2329,0.4783,0.1765,-7.6526
focused,0.3274,0.406,0.3577,-9.6767
focused,0.3218,0.3717,0.1891,-3.4979
focused,0.2496,0.3767,0.2185,-14.2566
focused,0.3565,0.4779,0.2363,1.6775
focused,0.2897,0.5356,0.2422,14.824
focused,0.2735,0.3816,0.1201,3.6508
focused,0.2686,0.3191,0.2005,-18.741
focused,0.3489,0.5259,0.1877,0.7042
focused,0.1242,0.4548,0.3044,-2.8435
focused,0.3606,0.441,0.129,0.0087
focused,0.3517,0.5054,0.2092,5.371
focused,0.1376,0.2547,0.2031,-54.3134
focused,0.3444,0.4619,0.2844,4.0054
focused,0.3517,0.4792,0.2876,8.2528
focused,0.0649,0.4252,0.1466,-10.3513
focused,0.3568,0.5412,0.0035,20.1666
focused,0.2295,0.4899,0.3054,-0.7551
focused,0.2804,0.2945,0.5191,-36.4028
focused,0.2578,0.4381,0.1862,-15.4585
focused,0.2572,0.4953,0.6078,-0.1075
focused,0.4084,0.4594,0.1589,7.7648
focused,0.2488,0.2028,0.027,24.0871
focused,0.3231,0.1867,0.4563,-5.6434
focused,0.2269,0.2521,0.0618,12.4689
focused,0.2426,0.2888,0.0474,-0.3921
focused,0.3674,0.3921,0.258,-7.8452
focused,0.1934,0.3949,0.1442,11.2595
focused,0.2776,0.4234,0.1304,-1.4513
focused,0.3538,0.4766,0.1733,-0.4918
focused,0.3976,0.4994,0.2093,-1.5154
focused,0.2316,0.4463,0.0391,2.2094
focused,0.1553,0.3519,0.0465,-0.7807
focused,0.3177,0.4399,0.1282,2.5688
focused,0.2015,0.1085,0.0361,12.008
focused,0.3471,0.4725,0.1243,2.8361
focused,0.1346,0.2778,0.3183,7.6816
focused,0.2584,0.414,0.2032,-3.155
focused,0.1862,0.2107,0.4085,-12.8036
focused,0.5058,0.5919,0.2674,3.1488
focused,0.3443,0.4586,0.1861,1.2624
focused,0.2236,0.4514,0.2493,-10.2045
focused,0.4016,0.4903,0.1336,13.498
focused,0.1757,0.5873,0.0986,1.4557
focused,0.2989,0.3806,0.1053,2.5728
focused,0.2876,0.3975,0.2194,16.9715
focused,0.2571,0.3285,0.364,-6.3536
focused,0.2301,0.3942,0.1163,11.0819
focused,0.3019,0.3283,0.8809,22.0374
focused,0.3353,0.3221,0.2321,5.5611
focused,0.1204,0.3765,0.5781,-4.6882
focused,0.1339,0.2257,0.4805,2.6482
focused,0.1378,0.2955,0.4164,31.1499
focused,0.2777,0.6535,0.1718,6.3135
focused,0.3889,0.3809,0.14,-0.0678
focused,0.3778,0.471,0.0008,10.0009
focused,0.3267,0.4808,0.2083,14.6394
focused,0.3056,0.4255,0.2855,5.3002
focused,0.2323,0.385,0.0206,-4.7861
focused,0.2888,0.5051,0.0673,-4.193
focused,0.1895,0.3876,0.3773,-27.0127
focused,0.338,0.4484,0.0503,-8.9864
focused,0.1599,0.3216,0.3692,-1.2855
focused,0.3076,0.4794,0.1798,-1.3558
focused,0.3567,0.4719,0.1062,-2.9091
focused,0.3138,0.4222,0.2865,-2.0766
focused,0.296,0.4841,0.1547,0.4373
focused,0.323,0.4159,0.2506,3.806
focused,0.0951,0.4118,0.267,3.3369
focused,0.2408,0.4386,0.1763,-10.429
focused,0.2855,0.3577,0.2237,7.7
focused,0.1781,0.4567,0.4399,11.3876
focused,0.3641,0.3988,0.5056,-5.1706
focused,0.3153,0.4088,0.1768,-2.3442
focused,0.2897,0.4648,0.1793,-3.5179
focused,0.075,0.391,0.1022,0.1889
focused,0.1631,0.3257,0.1811,-6.2146
focused,0.3138,0.4869,0.1585,3.977
focused,0.2867,0.4584,0.1223,16.6216
focused,0.3493,0.4738,0.0195,-6.7582
focused,0.2577,0.5349,0.2025,3.9783
focused,0.1497,0.414,0.2358,8.3499
focused,0.3265,0.4553,0.0545,3.4068
focused,0.2846,0.4475,0.2595,18.7868
focused,0.2439,0.4898,0.1687,-2.7121
focused,0.226,0.3568,0.4603,14.391
focused,0.2635,0.4465,0.217,2.5777
focused,0.3455,0.4617,0.1175,8.8595
focused,0.3331,0.4252,0.2069,5.4939
focused,0.3047,0.4261,0.1481,0.8979
focused,0.1756,0.4343,0.2994,-0.105
focused,0.2823,0.363,0.4808,17.6749
focused,0.135,0.4271,0.352,26.9062
focused,0.2477,0.4555,0.3995,-1.1864
focused,0.2688,0.5344,0.1603,1.6879
focused,0.1745,0.4168,0.2971,-0.432
focused,0.2292,0.3554,0.175,-0.379
focused,0.1572,0.313,0.2656,14.643
focused,0.2128,0.3931,0.3602,9.617
focused,0.0646,0.3392,0.0318,-37.8027
focused,0.2819,0.3319,0.1675,5.7808
focused,0.2518,0.3515,0.139,-3.6006
focused,0.296,0.4652,0.1906,0.6998
focused,0.1208,0.4545,0.668,7.4142
focused,0.3852,0.5714,0.1594,-7.1306
focused,0.2628,0.4334,0.2493,-6.0999
focused,0.2903,0.4668,0.1365,-9.5335
focused,0.0419,0.418,0.2225,-11.5589
focused,0.3682,0.5557,0.0093,-5.5891
focused,0.2971,0.3014,0.2499,3.343
focused,0.1136,0.3639,0.2624,2.2037
focused,0.2056,0.3321,0.1558,-6.2673
focused,0.2212,0.4899,0.0381,16.3427
focused,0.1388,0.442,0.1322,-8.4242
focused,0.2567,0.4789,0.2108,-3.9687
focused,0.2238,0.4859,0.1982,-3.1166
focused,0.3099,0.5241,0.0372,-0.325
focused,0.3773,0.4873,0.2188,-8.0321
focused,0.3055,0.4032,0.2372,-1.0452
focused,0.3007,0.4284,0.1274,2.3868
focused,0.2258,0.4575,0.3469,-43.6582
focused,0.3817,0.4347,0.0628,-1.7179
focused,0.3688,0.4117,0.1883,7.6166
focused,0.2607,0.5589,0.0094,0.2251
focused,0.0889,0.4906,0.097,-16.0871
focused,0.3342,0.5519,0.1503,-9.7638
focused,0.2332,0.475,0.1707,3.39
focused,0.3131,0.485,0.0924,49.7759
focused,0.3463,0.3763,0.1208,-0.6936
focused,0.3456,0.4587,0.039,22.8888
focused,0.0849,0.3657,0.2649,8.1882
focused,0.3766,0.3752,0.2912,3.162
focused,0.3085,0.5901,0.0149,2.5841
focused,0.1686,0.2916,0.1654,18.2241
focused,0.2861,0.4675,0.2191,-0.7282
focused,0.4077,0.3831,0.1767,-14.4051
focused,0.3316,0.4882,0.0442,8.2792
focused,0.3443,0.3688,0.3454,7.8831
focused,0.1572,0.4184,0.2448,-18.4999
focused,0.254,0.3268,0.2343,5.7275
focused,0.3215,0.4453,0.3295,1.145
focused,0.3714,0.5389,0.3746,1.2483
focused,0.2883,0.4855,0.2225,35.3146
focused,0.1961,0.4498,0.0022,8.4313
focused,0.1362,0.3175,0.1921,1.4112
focused,0.408,0.4627,0.593,-2.1971
focused,0.1587,0.4609,0.1437,-5.0092
focused,0.4176,0.3909,0.4902,10.6611
focused,0.2981,0.4818,0.3702,7.5751
focused,0.3545,0.3014,0.1793,-3.992
focused,0.3537,0.4877,0.1551,-4.153
focused,0.2951,0.3107,0.1815,8.5071
focused,0.3851,0.4348,0.1972,-10.6896
focused,0.2176,0.4251,0.1405,8.095
focused,0.1987,0.3906,0.1254,6.5025
focused,0.3567,0.34,0.2345,-10.9121
focused,0.28,0.4075,0.1303,4.2047
focused,0.2945,0.4812,0.1629,4.9698
focused,0.413,0.3323,0.4415,-10.0982
focused,0.2298,0.449,0.2036,-12.7327
focused,0.2585,0.3653,0.1909,3.5313
focused,0.3033,0.4611,0.371,-2.7123
focused,0.3619,0.3351,0.0147,-0.839
focused,0.3121,0.3198,0.3937,0.8833
focused,0.3256,0.343,0.2082,-9.6426
focused,0.1866,0.4778,0.2858,-12.6601
focused,0.0419,0.4244,0.2582,4.9378
focused,0.327,0.5192,0.0085,-0.7553
focused,0.1546,0.2989,0.0252,1.0563
focused,0.2424,0.5146,0.12,9.3873
focused,0.3674,0.5441,0.0573,1.8403
focused,0.2794,0.6003,0.2261,-1.7058
focused,0.3873,0.4504,0.0029,-9.9244
focused,0.0838,0.2907,0.0069,0.3012
focused,0.3706,0.4348,0.3044,-16.542
focused,0.1347,0.4477,0.0423,-6.3769
focused,0.3697,0.4777,0.0686,8.1206
focused,0.2883,0.4568,0.2547,-3.3805
focused,0.1678,0.4678,0.1337,0.5793
focused,0.246,0.3517,0.5649,8.2839
focused,0.0843,0.4993,0.1711,-10.8944
focused,0.2836,0.4396,0.2769,-3.3081
focused,0.232,0.3425,0.1666,12.9405
focused,0.0898,0.4333,0.1527,-2.6848
focused,0.1774,0.431,0.1499,-0.762
focused,0.4336,0.4388,0.4087,4.439
focused,0.0618,0.5448,0.2926,20.205
focused,0.3495,0.5225,0.0983,1.2237
focused,0.3278,0.5446,0.0315,0.5242
focused,0.1629,0.3664,0.3076,-0.7284
focused,0.3086,0.6187,0.0178,35.3033
focused,0.4562,0.304,0.2466,9.6683
focused,0.3716,0.4882,0.1824,-5.9145
focused,0.3728,0.4779,0.1936,-23.3644
focused,0.1826,0.4367,0.1191,-4.1796
focused,0.3907,0.4494,0.1504,9.5446
focused,0.3485,0.4137,0.1007,6.4607
focused,0.0946,0.3629,0.4024,-0.0225
focused,0.3205,0.461,0.0075,-4.7967
focused,0.2775,0.3575,0.2935,2.867
focused,0.3554,0.5941,0.2816,2.0844
focused,0.347,0.3925,0.0074,7.8101
focused,0.0938,0.3912,0.2103,-2.9815
focused,0.3071,0.5142,0.1682,27.4222
focused,0.0545,0.3683,0.22,4.2562
focused,0.4419,0.2804,0.2163,35.4408
focused,0.1125,0.3704,0.1973,-11.1328
focused,0.2457,0.5782,0.1903,-3.7629
focused,0.1295,0.3115,0.5119,10.7681
focused,0.1982,0.454,0.219,2.9235
focused,0.1611,0.4455,0.1568,-0.0746
focused,0.3722,0.4109,0.2114,-3.6661
focused,0.1895,0.4409,0.2253,1.0035
focused,0.1562,0.2732,0.3575,4.9237
focused,0.3173,0.5666,0.0996,1.8844
focused,0.2519,0.5056,0.0076,-21.4303
focused,0.2742,0.4701,0.2127,12.2538
focused,0.3086,0.5972,0.2675,10.1102
focused,0.3104,0.4603,0.106,8.6911
focused,0.3226,0.4367,0.1475,-15.9174
focused,0.2111,0.4746,0.3122,-10.1538
focused,0.4403,0.4654,0.0447,-0.7897
focused,0.3063,0.5042,0.1228,0.5183
focused,0.2157,0.4419,0.1544,-13.7744
focused,0.3165,0.4626,0.2639,-6.2803
focused,0.4915,0.4146,0.4491,-15.1402
focused,0.3954,0.4992,0.069,4.106
focused,0.242,0.4661,0.0206,-6.1307
focused,0.3016,0.3973,0.5747,0.675
focused,0.3794,0.5861,0.0572,1.2393
focused,0.2435,0.4741,0.2324,1.5481
focused,0.3251,0.514,0.1034,-1.9858
focused,0.0807,0.4373,0.1096,6.935
focused,0.3812,0.399,0.1611,-6.1346
focused,0.0922,0.2468,0.5621,34.6624
focused,0.3226,0.3744,0.2085,-21.1238
focused,0.1537,0.3102,0.4413,26.6327
focused,0.285,0.3975,0.0922,32.1327
focused,0.1354,0.3985,0.1732,10.7903
focused,0.2603,0.4019,0.0515,-14.3618
focused,0.2329,0.4988,0.1193,-5.8913
focused,0.2551,0.5079,0.2401,-13.8201
focused,0.2402,0.3719,0.5939,12.0274
focused,0.2979,0.4919,0.1801,0.1004
focused,0.2469,0.4189,0.1766,-13.378
focused,0.1707,0.3224,0.5819,-37.3354
focused,0.1347,0.5108,0.2123,-1.5737
focused,0.2432,0.3884,0.4299,-6.4326
focused,0.3292,0.3796,0.6071,-7.9295
focused,0.2358,0.3583,0.3626,6.2513
focused,0.2754,0.3742,0.2768,-3.5563
focused,0.3423,0.5487,0.179,15.4779
focused,0.4077,0.429,0.6629,-0.7733
focused,0.1328,0.4539,0.2067,2.6888
focused,0.3359,0.3974,0.1923,-6.0196
focused,0.1067,0.4281,0.4384,-2.5032
focused,0.2562,0.376,0.0279,6.2815
focused,0.1933,0.4036,0.2241,-11.6346
focused,0.158,0.4097,0.1694,4.8315
focused,0.1437,0.3693,0.2566,5.8974
focused,0.1622,0.41,0.3397,-11.2467
focused,0.3631,0.5029,0.24,7.423
focused,0.2729,0.4778,0.0095,-3.9222
focused,0.1543,0.3826,0.3985,0.9824
focused,0.096,0.5301,0.2398,-8.6489
focused,0.2023,0.3276,0.3721,4.1826
focused,0.2787,0.4073,0.2475,11.4505
focused,0.3841,0.5149,0.3125,2.8271
focused,0.3226,0.5388,0.0988,5.5084
focused,0.3359,0.4144,0.301,-6.9837
focused,0.2784,0.438,0.1662,5.3028
focused,0.3464,0.2932,0.2829,12.6659
focused,0.1738,0.3227,0.4575,25.3597
focused,0.3087,0.4525,0.1452,-8.0143
focused,0.3319,0.5013,0.0292,4.298
focused,0.3361,0.671,0.1383,6.2165
focused,0.3136,0.4742,0.2263,0.5928
focused,0.2756,0.4464,0.1755,0.2169
focused,0.3476,0.3633,0.4456,-17.4388
focused,0.3081,0.2602,0.038,1.7365
focused,0.2838,0.5024,0.342,-4.1665
focused,0.1043,0.4525,0.125,-5.869
focused,0.294,0.4206,0.0121,-7.6645
focused,0.0766,0.3722,0.2834,3.2759
focused,0.3816,0.4466,0.1377,-15.2491
focused,0.3447,0.4669,0.1476,18.5243
focused,0.1739,0.4213,0.1796,6.3992
focused,0.1329,0.3029,0.7385,-5.3346
focused,0.263,0.4547,0.0123,2.8793
focused,0.2561,0.2942,0.1811,27.2947
focused,0.2575,0.5371,0.1298,-21.6959
focused,0.2446,0.3439,0.5402,4.9795
focused,0.292,0.476,0.3095,-0.1957
focused,0.3311,0.436,0.1981,-15.5361
focused,0.2748,0.393,0.2234,4.3092
focused,0.2336,0.4033,0.2352,-3.1488
focused,0.2753,0.6001,0.1958,-28.8733
focused,0.1918,0.4296,0.1761,8.9067
focused,0.1622,0.475,0.2449,-9.3184
focused,0.3518,0.259,0.5976,36.5443
focused,0.3021,0.4116,0.2222,-2.9798
focused,0.235,0.4219,0.1032,3.393
focused,0.0669,0.3171,0.3038,-2.0276
focused,0.4152,0.5401,0.0221,-12.7373
focused,0.2337,0.4267,0.1773,-3.9817
focused,0.4339,0.3169,0.2018,7.2592
focused,0.3268,0.361,0.169,-13.5604
focused,0.0854,0.4667,0.2788,5.0641
focused,0.0865,0.4315,0.1752,-1.7434
focused,0.3731,0.5695,0.0851,-7.3184
focused,0.2031,0.4058,0.1912,-0.3989
focused,0.3439,0.3715,0.1203,-12.3786
focused,0.2212,0.3656,0.2575,-15.0531
focused,0.3008,0.5021,0.0546,3.7795
focused,0.4416,0.3587,0.1335,12.3278
focused,0.2916,0.4509,0.2576,-15.0594
focused,0.2853,0.4464,0.2276,-12.5871
focused,0.2281,0.4086,0.1753,-6.5625
focused,0.4065,0.4375,0.0606,-6.9187
focused,0.3885,0.399,0.2379,-0.5679
focused,0.2559,0.3543,0.2148,-21.1481
focused,0.324,0.3122,0.2893,-2.0056
focused,0.265,0.5287,0.2146,3.9501
focused,0.1304,0.3443,0.0198,0.2701
focused,0.3538,0.3395,0.0792,7.1572
focused,0.1208,0.3603,0.3752,-25.128
focused,0.4374,0.3969,0.4502,2.9777
focused,0.3087,0.3037,0.0557,-14.4413
focused,0.3451,0.3094,0.0259,26.6679
focused,0.2799,0.54,0.3081,-4.0612
focused,0.3021,0.411,0.2468,-11.2742
focused,0.2035,0.3961,0.306,-2.6183
focused,0.3057,0.5958,0.0206,-9.5814
focused,0.3162,0.5572,0.1651,-10.8501
focused,0.2635,0.3914,0.5661,-6.6178
focused,0.2863,0.5352,0.1541,0.408
focused,0.2961,0.5655,0.0303,-25.2755
focused,0.2446,0.4283,0.0942,-0.3479
focused,0.3568,0.4956,0.1855,-2.4156
focused,0.3693,0.5944,0.1003,-4.2202
focused,0.3515,0.4437,0.3713,-2.8213
focused,0.1101,0.3054,0.6526,-4.5303
focused,0.3044,0.4142,0.304,11.0539
focused,0.3086,0.4501,0.0907,-12.5376
focused,0.3133,0.4301,0.1405,72.6885
focused,0.0582,0.3801,0.436,-15.8596
focused,0.2864,0.4051,0.3385,0.7236
focused,0.2192,0.3024,0.2641,13.9862
focused,0.2775,0.4717,0.1462,-4.144
focused,0.239,0.4579,0.1487,-12.7862
focused,0.3611,0.4592,0.5126,2.4111
focused,0.1943,0.3741,0.3038,-6.9311
focused,0.3001,0.4592,0.1703,-15.4812
focused,0.428,0.4492,0.1691,-3.6742
focused,0.4163,0.4535,0.0543,13.0116
focused,0.2835,0.5448,0.2865,-2.0029
focused,0.2702,0.4738,0.2975,-10.1048
focused,0.4101,0.6752,0.0135,-6.6431
focused,0.1342,0.4082,0.0667,-9.9327
focused,0.2498,0.4526,0.1685,-3.3041
focused,0.3426,0.5275,0.0059,11.0416
focused,0.2928,0.4598,0.1866,0.3959
focused,0.2605,0.4466,0.15,-1.6863
focused,0.1324,0.456,0.2922,-5.7769
focused,0.2824,0.4831,0.2914,-1.4788
focused,0.3018,0.4341,0.0013,-1.1239
focused,0.1178,0.3013,0.1439,-5.3994
focused,0.086,0.3423,0.2851,-10.854
focused,0.2322,0.4313,0.2419,-13.1945
focused,0.3152,0.4475,0.205,4.1702
focused,0.4538,0.561,0.3141,-13.6232
focused,0.3167,0.4913,0.1146,-15.9381
focused,0.1975,0.3712,0.1102,-1.7159
focused,0.1941,0.3552,0.2193,0.9607
focused,0.2683,0.4772,0.3001,5.5198
neutral,0.3364,0.5302,0.0048,4.2515
neutral,0.3989,0.5258,0.0664,5.9981
neutral,0.3307,0.3402,0.0056,2.1937
neutral,0.3653,0.5323,0.0099,-2.1566
neutral,0.4602,0.41,0.0699,9.6242
neutral,0.0972,0.4557,0.0107,-11.3745
neutral,0.3311,0.7462,0.0094,-0.5109
neutral,0.3603,0.4878,0.0721,0.6709
neutral,0.2927,0.4718,0.0094,-4.0835
