emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt,mouth_width,mouth_height,eyebrow_asymmetry
frustrated,0.3636,0.3646,0.3449,-2.6241,0.2012,0.0694,0.0176
frustrated,0.2992,0.5796,0.5205,-0.713,0.418,0.2176,0.0105
frustrated,0.4761,0.4179,0.1065,1.0183,0.2333,0.0249,0.003
frustrated,0.328,0.3874,0.1762,-6.6276,0.255,0.0449,0.0637
frustrated,0.3851,0.5139,0.0283,14.4183,0.3088,0.0087,0.1285
frustrated,0.3993,0.5016,0.0031,-1.6082,0.2948,0.0009,0.0269
frustrated,0.3486,0.4081,0.0104,-0.2082,0.2753,0.0029,0.0005
frustrated,0.3415,0.4971,0.1095,-3.1946,0.2718,0.0298,0.0275
frustrated,0.275,0.4308,0.0302,-12.3165,0.248,0.0075,0.0943
frustrated,0.1602,0.4165,0.7296,12.2698,0.3412,0.2489,0.1122
frustrated,0.106,0.4355,0.5014,26.0446,0.3009,0.1509,0.2496
frustrated,0.3817,0.5575,0.1718,-5.8998,0.2236,0.0384,0.0362
frustrated,0.41,0.3533,0.6839,7.405,0.1492,0.102,0.0355
frustrated,0.1771,0.4086,0.6209,-3.6932,0.2615,0.1624,0.0374
frustrated,0.3532,0.4079,0.5171,1.7262,0.2229,0.1153,0.0115
frustrated,0.1895,0.4673,0.2013,6.5976,0.2426,0.0488,0.0632
frustrated,0.1654,0.4434,0.0419,9.6134,0.2359,0.0099,0.0514
frustrated,0.2821,0.4412,0.0054,4.4805,0.2142,0.0012,0.0173
frustrated,0.337,0.4556,0.012,4.7488,0.2685,0.0032,0.0373
frustrated,0.2742,0.4137,0.4521,7.9036,0.2908,0.1315,0.0779
frustrated,0.1197,0.3629,0.5158,5.8531,0.3162,0.1631,0.0459
frustrated,0.2699,0.3344,0.251,-6.325,0.2395,0.0601,0.0457
frustrated,0.3681,0.3736,0.1797,-6.3446,0.2188,0.0393,0.0411
frustrated,0.2958,0.453,0.0108,-9.42,0.2595,0.0028,0.0853
frustrated,0.2668,0.3147,0.5961,-7.5258,0.24,0.143,0.0542
frustrated,0.354,0.3463,0.0766,18.5373,0.1812,0.0139,0.0955
frustrated,0.2398,0.4715,0.203,0.7091,0.3092,0.0628,0.0133
frustrated,0.3372,0.3254,0.056,-8.3191,0.1656,0.0093,0.0728
frustrated,0.2328,0.4564,0.0286,1.6877,0.2986,0.0085,0.009
frustrated,0.3562,0.3895,0.429,-2.5593,0.2823,0.1211,0.0241
frustrated,0.4174,0.4699,0.0818,1.2674,0.2418,0.0198,0.0245
frustrated,0.4503,0.5018,0.0319,10.2293,0.195,0.0062,0.0634
frustrated,0.2712,0.4965,0.1083,-39.3635,0.2385,0.0258,0.3871
frustrated,0.0944,0.3913,0.2056,-6.9214,0.2893,0.0595,0.0507
frustrated,0.0482,0.4611,0.0174,36.7403,0.33,0.0057,0.3412
frustrated,0.307,0.3979,0.0238,-32.3191,0.1679,0.004,0.1977
frustrated,0.338,0.4616,0.0246,-0.1877,0.2342,0.0058,0.0162
frustrated,0.381,0.483,0.0609,-3.0764,0.2528,0.0154,0.0427
frustrated,0.1876,0.4851,0.0852,7.3022,0.3304,0.0281,0.079
frustrated,0.3214,0.3483,0.7753,0.9268,0.2073,0.1607,0.0037
frustrated,0.404,0.5103,0.4064,3.2981,0.3185,0.1294,0.0295
frustrated,0.2456,0.5059,0.3855,-7.586,0.4064,0.1567,0.088
frustrated,0.145,0.3564,0.3058,-7.4759,0.3005,0.0919,0.0517
frustrated,0.3181,0.4782,0.3279,-3.5977,0.2854,0.0936,0.03
frustrated,0.3277,0.4327,0.0339,-5.3853,0.2511,0.0085,0.0636
frustrated,0.2771,0.4708,0.1783,10.6952,0.2432,0.0434,0.0973
frustrated,0.3541,0.4216,0.7751,6.3064,0.3069,0.2379,0.0452
frustrated,0.2856,0.4008,0.4082,0.7777,0.3348,0.1367,0.0033
frustrated,0.3635,0.4386,0.1219,-8.9038,0.2085,0.0254,0.0988
frustrated,0.0431,0.4973,0.0074,-0.6684,0.2831,0.0021,0.0191
frustrated,0.4002,0.4344,0.3889,-7.0152,0.2358,0.0917,0.0395
frustrated,0.4011,0.2534,0.0458,-9.5589,0.1253,0.0057,0.0508
frustrated,0.3277,0.4424,0.5629,-28.9015,0.2511,0.1414,0.2302
frustrated,0.3356,0.4985,0.0513,6.5274,0.2716,0.0139,0.0693
frustrated,0.3094,0.3313,0.3703,10.0861,0.2203,0.0816,0.0426
frustrated,0.3879,0.5035,0.1592,-2.2377,0.2477,0.0394,0.0543
frustrated,0.4146,0.5034,0.2822,4.1854,0.2901,0.0819,0.0419
frustrated,0.2203,0.3295,0.1959,7.0331,0.2936,0.0575,0.057
frustrated,0.3139,0.4809,0.0036,6.9883,0.3319,0.0012,0.0712
frustrated,0.317,0.5061,0.0161,2.4363,0.2965,0.0048,0.0124
frustrated,0.3478,0.44,0.2889,13.5666,0.1894,0.0547,0.1149
frustrated,0.3261,0.4926,0.372,-2.3929,0.3103,0.1154,0.0102
frustrated,0.3994,0.4876,0.6267,0.4337,0.3167,0.1985,0.0054
frustrated,0.3985,0.4608,0.7027,-4.2404,0.142,0.0998,0.0317
frustrated,0.343,0.541,0.0151,5.4255,0.261,0.0039,0.0712
frustrated,0.3407,0.4255,0.0676,4.0905,0.1771,0.012,0.0384
frustrated,0.2448,0.5107,0.0723,-7.4842,0.3037,0.0219,0.0736
frustrated,0.1568,0.3378,0.0201,9.5122,0.2028,0.0041,0.0658
frustrated,0.2921,0.4155,0.1947,-3.5219,0.2511,0.0489,0.0451
frustrated,0.3699,0.4194,0.0131,1.4537,0.2008,0.0026,0.0212
frustrated,0.2899,0.4624,0.2671,-19.0657,0.3758,0.1004,0.2067
frustrated,0.4558,0.4472,0.0997,-10.6648,0.1816,0.0181,0.0849
frustrated,0.2773,0.43,0.7829,-17.2223,0.2323,0.1819,0.1392
frustrated,0.3902,0.416,0.9695,3.0661,0.2323,0.2253,0.0178
frustrated,0.3449,0.4145,0.0145,26.8279,0.1792,0.0026,0.1951
frustrated,0.0223,0.3548,0.0053,-3.789,0.2947,0.0016,0.0228
frustrated,0.3392,0.4821,0.0533,-6.5514,0.2413,0.0129,0.0594
frustrated,0.3657,0.478,0.2414,15.8286,0.2315,0.0559,0.1432
frustrated,0.0773,0.4364,0.0339,0.0252,0.1964,0.0067,0.0143
frustrated,0.3196,0.3606,0.0457,7.5605,0.2057,0.0094,0.0407
frustrated,0.2924,0.3896,0.6664,5.5119,0.2858,0.1904,0.0249
frustrated,0.3439,0.3966,0.5286,-6.1408,0.1796,0.095,0.0267
frustrated,0.3426,0.4505,0.7712,-3.5481,0.2564,0.1978,0.0365
frustrated,0.38,0.3749,0.3981,16.3242,0.2292,0.0912,0.0968
frustrated,0.2306,0.4141,0.5604,-5.3634,0.2357,0.1321,0.0685
frustrated,0.3838,0.4286,0.6658,2.1807,0.1632,0.1087,0.0181
frustrated,0.4871,0.2774,1.1246,-42.9886,0.1315,0.1479,0.138
frustrated,0.3261,0.4926,0.372,-2.3929,0.3103,0.1154,0.0102
frustrated,0.339,0.4594,0.0182,4.7263,0.2845,0.0052,0.022
frustrated,0.3062,0.4781,0.0309,0.9473,0.2543,0.0079,0.0055
frustrated,0.2696,0.3237,0.0338,-1.5221,0.1656,0.0056,0.0123
frustrated,0.3772,0.3831,0.0315,-8.0053,0.2333,0.0074,0.0532
frustrated,0.2254,0.4577,0.6306,3.4887,0.3484,0.2197,0.034
frustrated,0.3939,0.458,0.3403,-0.72,0.282,0.096,0.0001
frustrated,0.2541,0.4134,0.2937,-18.6659,0.3195,0.0938,0.145
frustrated,0.2893,0.3552,0.0502,2.1243,0.2149,0.0108,0.0133
frustrated,0.2999,0.3413,0.1035,-15.284,0.2653,0.0275,0.1244
frustrated,0.1124,0.5294,0.3166,-5.305,0.269,0.0852,0.0839
frustrated,0.092,0.3195,0.0162,1.6441,0.2149,0.0035,0.0133
frustrated,0.1903,0.3222,0.2859,-8.4415,0.217,0.062,0.0574
frustrated,0.3313,0.4247,0.2797,-7.9415,0.3042,0.0851,0.063
frustrated,0.3471,0.4475,0.0242,8.771,0.236,0.0057,0.0844
frustrated,0.3621,0.4016,0.0007,-8.8644,0.2083,0.0001,0.0433
frustrated,0.397,0.4253,0.8195,2.3649,0.2667,0.2186,0.0161
frustrated,0.38,0.4378,0.1641,-6.8439,0.2108,0.0346,0.0744
frustrated,0.2757,0.521,0.3249,-4.3278,0.4056,0.1318,0.0453
frustrated,0.111,0.4506,0.0143,-1.0402,0.2929,0.0042,0.0381
frustrated,0.2452,0.4104,0.1886,0.3744,0.2193,0.0414,0.0153
frustrated,0.3738,0.4513,0.4138,0.9704,0.3006,0.1244,0.0011
frustrated,0.0893,0.4077,0.0047,18.2697,0.2306,0.0011,0.1567
frustrated,0.3331,0.4012,0.5854,-3.4997,0.3263,0.191,0.0202
frustrated,0.458,0.4039,0.15,-2.5598,0.2069,0.031,0.0374
frustrated,0.1187,0.3686,0.7522,-5.6365,0.3243,0.244,0.0432
frustrated,0.3897,0.4951,0.0179,-0.4177,0.2439,0.0044,0.0096
frustrated,0.3694,0.5267,0.0325,-17.8566,0.2649,0.0086,0.1678
frustrated,0.4169,0.4382,0.1723,7.1963,0.1989,0.0343,0.0545
frustrated,0.3683,0.4171,0.0331,11.7342,0.2203,0.0073,0.0958
frustrated,0.0778,0.3944,0.8724,-10.7595,0.2707,0.2362,0.1028
frustrated,0.2547,0.6232,0.0054,-3.8493,0.3064,0.0017,0.0485
frustrated,0.3998,0.6461,0.2001,-5.3962,0.3139,0.0628,0.0853
frustrated,0.3371,0.479,0.1676,-7.5283,0.2608,0.0437,0.0668
frustrated,0.35,0.5374,0.0496,1.15,0.2426,0.012,0.0214
frustrated,0.3763,0.3815,0.0679,-5.7162,0.1831,0.0124,0.0549
frustrated,0.3151,0.5824,0.0499,-2.1508,0.3014,0.0151,0.0022
frustrated,0.3726,0.4121,0.6707,1.1351,0.2418,0.1622,0.0167
frustrated,0.4322,0.3173,0.0963,-5.4795,0.1631,0.0157,0.0444
frustrated,0.3733,0.4686,0.5042,-6.3895,0.3442,0.1736,0.0511
frustrated,0.3117,0.4939,0.06,8.3473,0.2539,0.0152,0.0813
frustrated,0.3082,0.4098,0.4494,-2.8165,0.2597,0.1167,0.0115
frustrated,0.3287,0.5682,0.0121,5.2938,0.2934,0.0036,0.0626
frustrated,0.3009,0.3923,0.049,4.4471,0.2106,0.0103,0.0347
frustrated,0.2679,0.5002,0.2788,-6.3432,0.2105,0.0587,0.0727
frustrated,0.2935,0.4672,0.7458,4.0023,0.298,0.2222,0.0404
frustrated,0.309,0.4001,0.0158,12.4587,0.286,0.0045,0.1052
frustrated,0.4983,0.4562,0.3433,19.4191,0.2449,0.0841,0.151
frustrated,0.2643,0.5019,0.0168,-8.4542,0.3045,0.0051,0.0881
frustrated,0.3422,0.4744,0.3725,-8.2435,0.2324,0.0866,0.0769
frustrated,0.3472,0.4665,0.0109,3.9605,0.2627,0.0029,0.0212
frustrated,0.3458,0.481,0.0094,-4.3132,0.2686,0.0025,0.059
frustrated,0.3757,0.3666,0.0103,-24.7999,0.2258,0.0023,0.1538
frustrated,0.2151,0.4411,0.6934,4.21,0.2867,0.1988,0.0356
frustrated,0.2614,0.4602,0.0799,-5.7236,0.2405,0.0192,0.0432
frustrated,0.4059,0.5181,0.0036,5.468,0.2295,0.0008,0.0515
frustrated,0.3288,0.4577,0.021,5.23,0.2726,0.0057,0.051
frustrated,0.3473,0.381,0.0219,-2.6237,0.1966,0.0043,0.0304
frustrated,0.1613,0.2903,0.601,-16.7397,0.234,0.1406,0.0942
frustrated,0.2111,0.4408,0.4148,9.0656,0.369,0.153,0.087
frustrated,0.2962,0.5777,0.0428,-1.7555,0.3042,0.013,0.0364
frustrated,0.3046,0.445,0.0096,0.5276,0.2473,0.0024,0.0003
frustrated,0.2943,0.3613,0.0356,-9.1712,0.2431,0.0086,0.0611
frustrated,0.242,0.4382,0.6213,-3.0986,0.292,0.1815,0.0134
frustrated,0.3195,0.2961,0.0031,-3.5575,0.1603,0.0005,0.0186
frustrated,0.3966,0.4489,0.0067,-4.7838,0.2139,0.0014,0.02
frustrated,0.2844,0.543,0.5957,-13.9449,0.2776,0.1653,0.1387
frustrated,0.28,0.4282,0.0327,-11.2124,0.2831,0.0093,0.1151
frustrated,0.3204,0.4056,0.2545,2.202,0.2673,0.068,0.0355
frustrated,0.2237,0.3271,0.6525,17.0679,0.3163,0.2064,0.1351
frustrated,0.1357,0.4209,0.0127,-19.9177,0.3092,0.0039,0.141
frustrated,0.2392,0.4495,0.04,-1.3243,0.2154,0.0086,0.0042
frustrated,0.2297,0.4202,0.012,11.4671,0.2708,0.0033,0.1102
frustrated,0.1501,0.2701,1.0029,3.5842,0.1625,0.1629,0.0078
frustrated,0.3057,0.4672,0.3116,-3.1669,0.2722,0.0848,0.0261
frustrated,0.3264,0.4069,0.0009,12.7842,0.2349,0.0002,0.09
frustrated,0.2409,0.2419,0.8669,4.3689,0.1993,0.1728,0.0187
frustrated,0.2014,0.3698,0.0201,-7.2979,0.25,0.005,0.0501
frustrated,0.4459,0.467,0.0105,-12.8685,0.2159,0.0023,0.0993
frustrated,0.299,0.4391,0.0227,-9.1766,0.3194,0.0073,0.0686
frustrated,0.2619,0.4312,0.4173,-3.5862,0.2795,0.1166,0.0411
frustrated,0.3127,0.4257,0.1897,-6.9479,0.3234,0.0613,0.0734
frustrated,0.0419,0.3863,0.2095,-17.0468,0.2904,0.0608,0.1455
frustrated,0.3703,0.4952,0.0185,-14.6521,0.2955,0.0055,0.1524
frustrated,0.2656,0.4143,0.0062,0.3251,0.2062,0.0013,0.0307
frustrated,0.3653,0.3808,0.7876,2.7992,0.2109,0.1661,0.0105
frustrated,0.4893,0.4418,0.0287,6.0526,0.2041,0.0059,0.0349
frustrated,0.2196,0.449,0.0432,2.4512,0.2267,0.0098,0.0505
frustrated,0.3604,0.572,0.3216,-1.2041,0.3159,0.1016,0.0162
frustrated,0.3596,0.4654,0.0069,4.0866,0.2816,0.0019,0.0238
frustrated,0.4169,0.453,0.1378,9.5614,0.2504,0.0345,0.073
frustrated,0.2996,0.3425,0.0088,-6.9889,0.2439,0.0021,0.039
frustrated,0.2575,0.3823,0.6079,2.0208,0.3371,0.2049,0.0181
frustrated,0.4275,0.3698,0.1112,24.5085,0.1544,0.0172,0.1286
frustrated,0.3426,0.5819,0.0179,3.1654,0.2841,0.0051,0.0256
frustrated,0.4765,0.1154,0.0556,59.7955,0.0676,0.0038,0.0931
frustrated,0.3518,0.467,0.0029,-2.6472,0.2403,0.0007,0.0184
frustrated,0.1194,0.4205,0.1458,-14.0175,0.3248,0.0474,0.1259
frustrated,0.4303,0.4602,0.0138,4.4862,0.2207,0.003,0.0309
frustrated,0.3238,0.44,0.5848,-15.5335,0.2814,0.1645,0.1513
frustrated,0.0199,0.571,0.0309,0.9663,0.3447,0.0106,0.0084
frustrated,0.3485,0.3033,0.4713,16.1562,0.1679,0.0791,0.1009
frustrated,0.3326,0.3998,0.2007,27.5069,0.1982,0.0398,0.2103
frustrated,0.318,0.4027,0.0207,-4.2342,0.2048,0.0042,0.0366
frustrated,0.2858,0.3806,0.2633,-17.0046,0.2675,0.0704,0.1328
frustrated,0.2733,0.4215,0.2884,-11.775,0.3346,0.0965,0.0917
frustrated,0.18,0.4568,0.0283,0.1167,0.308,0.0087,0.0023
frustrated,0.3214,0.4522,0.3356,-0.8078,0.2756,0.0925,0.0179
frustrated,0.3063,0.4385,0.0945,-7.512,0.2312,0.0219,0.0649
frustrated,0.3005,0.476,0.1629,-8.0634,0.3108,0.0506,0.0855
frustrated,0.3589,0.4477,0.1954,2.7572,0.281,0.0549,0.0056
frustrated,0.2773,0.3859,0.4892,-5.9709,0.2994,0.1465,0.0555
frustrated,0.2519,0.4166,0.0202,-3.5854,0.2881,0.0058,0.0196
frustrated,0.3323,0.4965,0.0762,-2.9491,0.3083,0.0235,0.0454
frustrated,0.2708,0.5063,0.4161,-13.3994,0.3015,0.1255,0.1623
frustrated,0.3404,0.2671,0.0237,-6.4965,0.103,0.0024,0.0427
frustrated,0.3449,0.4946,0.0054,2.3768,0.3008,0.0016,0.0213
frustrated,0.358,0.441,0.0159,-2.2078,0.1667,0.0026,0.0158
frustrated,0.442,0.3238,0.0426,-23.3668,0.1732,0.0074,0.1232
frustrated,0.3826,0.3994,0.4034,-7.2326,0.2428,0.0979,0.0277
frustrated,0.3505,0.4813,0.3207,2.7439,0.31,0.0994,0.0129
frustrated,0.2643,0.4932,0.8699,-2.002,0.3096,0.2694,0.0246
frustrated,0.5217,0.2716,0.0312,9.3588,0.1006,0.0031,0.0467
frustrated,0.2636,0.4092,0.0145,36.2573,0.2291,0.0033,0.2651
frustrated,0.3215,0.4493,0.0116,5.9657,0.1964,0.0023,0.0243
frustrated,0.3428,0.3627,0.4803,-1.3018,0.326,0.1566,0.0165
frustrated,0.3939,0.458,0.3403,-0.72,0.282,0.096,0.0001
frustrated,0.4859,0.466,0.0439,-24.1933,0.2385,0.0105,0.1968
frustrated,0.5409,0.2473,1.3553,-9.6882,0.0751,0.1018,0.0481
frustrated,0.5057,0.3118,0.9395,-30.4469,0.1493,0.1402,0.131
frustrated,0.2747,0.532,0.0634,0.2546,0.3508,0.0222,0.0254
frustrated,0.3907,0.5139,0.0915,9.2826,0.2964,0.0271,0.0696
frustrated,0.122,0.3449,0.3742,-1.8748,0.2937,0.1099,0.0018
frustrated,0.2994,0.3706,0.5445,38.9227,0.2616,0.1425,0.2688
frustrated,0.3773,0.3707,0.0412,9.9159,0.1952,0.008,0.0837
frustrated,0.103,0.3753,0.0196,0.0225,0.2568,0.005,0.002
frustrated,0.188,0.3764,0.2904,-11.0431,0.2456,0.0713,0.0866
frustrated,0.3608,0.3809,0.0186,-3.2865,0.1944,0.0036,0.0153
frustrated,0.0397,0.4195,0.014,-33.9594,0.2203,0.0031,0.2491
frustrated,0.3462,0.4519,0.0227,0.4578,0.1927,0.0044,0.0038
frustrated,0.1654,0.5168,0.4607,2.9187,0.3524,0.1624,0.0456
frustrated,0.1171,0.4662,0.006,-4.7977,0.3386,0.002,0.0293
frustrated,0.0995,0.3932,0.083,5.1825,0.2171,0.018,0.0349
frustrated,0.2765,0.4674,0.0847,0.0814,0.2103,0.0178,0.0064
frustrated,0.2283,0.4135,0.0852,-0.6304,0.2437,0.0208,0.0068
frustrated,0.3239,0.4561,0.0273,-3.9908,0.2378,0.0065,0.0305
frustrated,0.363,0.4689,0.3778,11.873,0.2001,0.0756,0.1161
frustrated,0.0861,0.4275,0.1604,-4.4084,0.3167,0.0508,0.0356
frustrated,0.3616,0.4522,0.6236,-5.1194,0.2775,0.173,0.0123
frustrated,0.324,0.4756,0.1126,-6.1098,0.2647,0.0298,0.0703
frustrated,0.474,0.3451,0.5759,-3.5409,0.133,0.0766,0.0291
frustrated,0.3209,0.5217,0.1526,4.1166,0.2834,0.0433,0.0345
frustrated,0.3239,0.4137,0.1663,-1.2875,0.3292,0.0547,0.0261
frustrated,0.3515,0.5435,0.2188,-9.8752,0.3077,0.0673,0.1358
frustrated,0.2941,0.4219,0.2127,0.8603,0.3046,0.0648,0.0057
frustrated,0.3211,0.4184,0.7232,2.6784,0.2498,0.1807,0.0311
frustrated,0.0393,0.56,0.0158,-0.0399,0.297,0.0047,0.0126
frustrated,0.3839,0.4649,0.3175,4.3949,0.1768,0.0561,0.0615
frustrated,0.0634,0.4267,0.4332,0.6746,0.2998,0.1299,0.0005
frustrated,0.3108,0.5228,0.0344,-0.161,0.3165,0.0109,0.0092
frustrated,0.1903,0.5053,0.0136,-16.219,0.341,0.0046,0.1538
frustrated,0.0433,0.4724,0.1506,7.6534,0.3787,0.057,0.0733
frustrated,0.3581,0.4473,0.5483,1.6319,0.2624,0.1439,0.0033
frustrated,0.2132,0.4117,0.5483,8.7337,0.3378,0.1852,0.0615
frustrated,0.1822,0.469,0.078,-3.7512,0.2668,0.0208,0.0495
frustrated,0.3508,0.4022,0.4959,-5.0843,0.2442,0.1211,0.0454
frustrated,0.1315,0.4506,0.0512,2.4698,0.3021,0.0155,0.0242
frustrated,0.1333,0.4999,0.3025,-10.0818,0.299,0.0904,0.0838
frustrated,0.067,0.4399,0.1378,2.5136,0.272,0.0375,0.0168
frustrated,0.3364,0.5391,0.4064,-5.8068,0.2939,0.1195,0.0578
frustrated,0.365,0.5268,0.2773,0.4872,0.2209,0.0612,0.0083
frustrated,0.3272,0.5648,0.0807,-0.9503,0.3688,0.0298,0.0052
frustrated,0.0239,0.4845,0.0065,11.7976,0.2824,0.0018,0.1054
frustrated,0.3074,0.4733,0.5977,6.9323,0.262,0.1566,0.0806
frustrated,0.1294,0.5255,0.2081,-19.2085,0.3014,0.0627,0.1981
frustrated,0.2618,0.4441,0.1859,-0.2063,0.2858,0.0531,0.0059
frustrated,0.2442,0.4742,0.1698,0.4707,0.2716,0.0461,0.01
frustrated,0.305,0.4445,0.015,1.5014,0.2295,0.0035,0.001
frustrated,0.3438,0.4231,0.0688,-5.6839,0.2592,0.0178,0.0437
frustrated,0.3043,0.4251,0.382,7.877,0.3125,0.1194,0.0589
frustrated,0.3641,0.3979,0.6885,5.3841,0.2649,0.1824,0.0561
frustrated,0.3609,0.6994,0.1482,-5.8933,0.3726,0.0552,0.0868
frustrated,0.1629,0.4554,0.0098,0.1616,0.2431,0.0024,0.0094
frustrated,0.3279,0.4164,0.1764,-2.1091,0.2744,0.0484,0.0268
frustrated,0.2977,0.5168,0.5754,-2.8315,0.3143,0.1808,0.02
frustrated,0.1315,0.4506,0.0512,2.4698,0.3021,0.0155,0.0242
frustrated,0.0995,0.4256,0.331,-1.0772,0.3127,0.1035,0.0064
frustrated,0.2887,0.5193,0.2904,0.7636,0.358,0.104,0.0386
frustrated,0.352,0.4508,0.3419,-5.3851,0.2239,0.0766,0.0349
frustrated,0.3379,0.4371,0.3731,-11.7444,0.2549,0.0951,0.0902
frustrated,0.1375,0.4167,0.1499,2.7607,0.2386,0.0358,0.0252
frustrated,0.3717,0.5303,0.2684,0.3988,0.2153,0.0578,0.0023
frustrated,0.0204,0.4255,0.3369,0.1579,0.2972,0.1001,0.0005
frustrated,0.3468,0.5328,0.2099,-18.9216,0.2922,0.0613,0.1637
frustrated,0.019,0.4953,0.186,1.071,0.2999,0.0558,0.0008
frustrated,0.334,0.4985,0.0163,-0.8564,0.2732,0.0045,0.0144
frustrated,0.3514,0.5686,0.7194,-0.8426,0.3661,0.2634,0.011
frustrated,0.3039,0.5064,0.3213,16.6189,0.3516,0.113,0.156
frustrated,0.3242,0.5131,0.3438,-28.7214,0.2778,0.0955,0.2517
frustrated,0.0615,0.4044,0.0733,1.6999,0.2356,0.0173,0.0119
frustrated,0.2641,0.43,0.3401,-9.6264,0.2812,0.0957,0.0764
frustrated,0.3097,0.5127,0.2707,0.878,0.3354,0.0908,0.01
frustrated,0.224,0.3331,0.4078,7.0287,0.1504,0.0613,0.0394
frustrated,0.1354,0.5183,0.1571,-2.7764,0.4137,0.065,0.0011
frustrated,0.1427,0.5064,0.0131,-2.1115,0.3625,0.0048,0.0163
frustrated,0.2804,0.408,0.4576,3.6311,0.2207,0.101,0.027
frustrated,0.3633,0.3806,0.6094,5.1521,0.2617,0.1595,0.0491
frustrated,0.3996,0.3723,0.3526,-6.8885,0.2382,0.084,0.0452
frustrated,0.459,0.4521,0.1223,3.646,0.2538,0.0311,0.0175
frustrated,0.2585,0.4627,0.2557,-3.7827,0.2574,0.0658,0.0339
frustrated,0.019,0.4953,0.186,1.071,0.2999,0.0558,0.0008
frustrated,0.2126,0.4964,0.0631,-9.2059,0.4361,0.0275,0.0917
frustrated,0.398,0.4929,0.21,2.7197,0.2015,0.0423,0.055
frustrated,0.0599,0.4329,0.2893,3.6675,0.1869,0.0541,0.0395
frustrated,0.2827,0.5773,0.36,1.2931,0.3647,0.1313,0.0209
frustrated,0.3617,0.4515,0.1406,-0.647,0.2275,0.032,0.0146
frustrated,0.2836,0.4262,0.4639,-4.2828,0.2735,0.1269,0.0432
frustrated,0.3044,0.4667,0.2566,14.1762,0.3511,0.0901,0.1527
frustrated,0.222,0.4699,0.4938,27.0876,0.2266,0.1119,0.1843
frustrated,0.3254,0.4253,0.2676,-8.1079,0.323,0.0864,0.078
frustrated,0.3326,0.5472,0.1588,2.1633,0.2839,0.0451,0.0326
frustrated,0.1996,0.511,0.4068,-7.489,0.2955,0.1202,0.1236
frustrated,0.3632,0.3593,0.5573,4.8017,0.2482,0.1383,0.0412
frustrated,0.343,0.5716,0.4943,9.4292,0.3124,0.1544,0.1127
frustrated,0.0682,0.4495,0.0625,-5.1264,0.2869,0.0179,0.0258
frustrated,0.234,0.4279,0.1806,1.9791,0.2968,0.0536,0.0156
frustrated,0.2809,0.5509,0.019,-8.9842,0.3464,0.0066,0.0844
frustrated,0.1618,0.4016,0.1089,7.7336,0.2548,0.0277,0.0672
frustrated,0.3373,0.5266,0.2853,-0.0671,0.3393,0.0968,0.0038
frustrated,0.2814,0.4336,0.4318,-4.1265,0.2913,0.1258,0.0404
frustrated,0.2297,0.48,0.1794,0.6646,0.2657,0.0477,0.0119
frustrated,0.3004,0.5129,0.0758,-0.0564,0.3165,0.024,0.0062
frustrated,0.2941,0.4219,0.2127,0.8603,0.3046,0.0648,0.0057
frustrated,0.1098,0.4333,0.1458,-5.7471,0.3147,0.0459,0.0421
frustrated,0.3322,0.4646,0.0226,0.4504,0.201,0.0045,0.0053
frustrated,0.0427,0.4284,0.6222,-0.2505,0.361,0.2246,0.0095
frustrated,0.3433,0.4525,0.1977,-6.7113,0.2632,0.052,0.0587
frustrated,0.2941,0.4219,0.2127,0.8603,0.3046,0.0648,0.0057
frustrated,0.2652,0.3764,0.1515,-0.903,0.2442,0.037,0.0103
frustrated,0.1357,0.4312,0.4747,-3.8848,0.2989,0.1419,0.0501
frustrated,0.2014,0.4357,0.1338,-2.8409,0.1773,0.0237,0.0287
frustrated,0.1325,0.4917,0.0752,0.3833,0.3253,0.0245,0.0
frustrated,0.3174,0.42,0.2951,5.9344,0.2669,0.0788,0.0482
frustrated,0.2355,0.5605,0.3053,-0.3268,0.3302,0.1008,0.0048
frustrated,0.0216,0.5372,0.0056,9.0111,0.2189,0.0012,0.0924
frustrated,0.0239,0.4845,0.0065,11.7976,0.2824,0.0018,0.1054
frustrated,0.2846,0.4241,0.4674,-4.3646,0.2846,0.133,0.041
frustrated,0.0551,0.4664,0.0159,-0.8943,0.2686,0.0043,0.0119
frustrated,0.0851,0.5075,0.0223,-5.9621,0.2966,0.0066,0.0294
frustrated,0.2549,0.4458,0.3541,-8.0306,0.3017,0.1068,0.0721
frustrated,0.2323,0.4615,0.3044,-5.5755,0.3024,0.092,0.0583
frustrated,0.3033,0.4159,0.2527,-0.6598,0.2579,0.0652,0.0013
frustrated,0.0848,0.393,0.0434,-8.518,0.201,0.0087,0.0806
frustrated,0.3741,0.4872,0.4546,-1.2007,0.2633,0.1197,0.0119
frustrated,0.1042,0.51,0.0115,-1.3363,0.3141,0.0036,0.0049
frustrated,0.2356,0.11,0.152,-57.26,0.0572,0.0087,0.0858
frustrated,0.234,0.4279,0.1806,1.9791,0.2968,0.0536,0.0156
frustrated,0.3717,0.5303,0.2684,0.3988,0.2153,0.0578,0.0023
frustrated,0.2524,0.4515,0.0132,-0.3649,0.2806,0.0037,0.0088
frustrated,0.0522,0.4256,0.4498,-1.4804,0.3198,0.1438,0.0079
frustrated,0.422,0.4663,0.0861,-12.1111,0.2246,0.0194,0.0744
frustrated,0.2207,0.364,0.2817,16.2546,0.2881,0.0812,0.1486
frustrated,0.0862,0.4178,0.1803,1.362,0.2296,0.0414,0.0151
