emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt,mouth_width,mouth_height,eyebrow_asymmetry
frustrated,0.2738,0.4072,0.0127,-8.2508,0.2562,0.0032,0.0659
frustrated,0.2373,0.4505,0.0107,-6.6309,0.2392,0.0026,0.0422
frustrated,0.2895,0.4132,0.0946,12.3356,0.2021,0.0191,0.0911
frustrated,0.3334,0.4369,0.664,5.6934,0.2208,0.1466,0.061
frustrated,0.328,0.3874,0.1762,-6.6276,0.255,0.0449,0.0637
frustrated,0.2002,0.4118,0.0905,-1.7363,0.2474,0.0224,0.0134
frustrated,0.1671,0.4485,0.6583,-1.8779,0.2999,0.1974,0.0077
frustrated,0.33,0.4923,0.001,-3.209,0.285,0.0003,0.0306
frustrated,0.3077,0.4879,0.5858,7.2255,0.3094,0.1812,0.0376
frustrated,0.2959,0.4724,0.5993,8.1721,0.2158,0.1293,0.0859
frustrated,0.3364,0.4755,0.6034,-1.9089,0.3767,0.2273,0.0239
frustrated,0.1954,0.2411,0.5812,8.9451,0.1487,0.0865,0.0482
frustrated,0.3768,0.3915,0.5168,-10.4177,0.2881,0.1489,0.0571
frustrated,0.3233,0.3054,0.382,-4.3729,0.211,0.0806,0.0054
frustrated,0.4331,0.3261,0.088,-7.1209,0.1297,0.0114,0.033
frustrated,0.3748,0.4762,0.0141,-9.6737,0.2412,0.0034,0.0996
frustrated,0.2161,0.3663,0.3512,-15.4896,0.3035,0.1066,0.1336
frustrated,0.3968,0.5192,0.2841,17.8075,0.207,0.0588,0.1378
frustrated,0.4469,0.4851,0.3848,-2.249,0.3733,0.1436,0.0209
frustrated,0.1204,0.289,0.3016,12.4584,0.1431,0.0432,0.0724
frustrated,0.1735,0.373,0.6417,-1.7929,0.2343,0.1504,0.0024
frustrated,0.2429,0.4533,0.5302,0.9942,0.3526,0.187,0.0119
frustrated,0.3865,0.4739,0.1758,-7.8599,0.2121,0.0373,0.0834
frustrated,0.3559,0.3935,0.3042,12.269,0.2046,0.0622,0.1026
frustrated,0.2775,0.3529,0.0274,9.6947,0.2267,0.0062,0.0712
frustrated,0.3912,0.4903,0.0048,-50.3602,0.2673,0.0013,0.4084
frustrated,0.3536,0.4666,0.0133,-0.1353,0.293,0.0039,0.0023
frustrated,0.2877,0.3375,0.0047,-8.9475,0.2335,0.0011,0.0692
frustrated,0.312,0.4924,0.0021,1.9417,0.272,0.0006,0.0176
frustrated,0.3354,0.472,0.0327,-0.0868,0.2514,0.0082,0.0085
frustrated,0.1379,0.4639,0.2766,0.5977,0.3575,0.0989,0.0068
frustrated,0.3192,0.4843,0.493,-13.7972,0.254,0.1252,0.1386
frustrated,0.1089,0.4278,0.5868,-5.1261,0.2725,0.1599,0.0343
frustrated,0.276,0.357,0.0063,0.8204,0.2338,0.0015,0.004
frustrated,0.3421,0.4471,0.4736,2.8141,0.2727,0.1292,0.0152
frustrated,0.297,0.4659,0.5436,-4.2458,0.3794,0.2063,0.0387
frustrated,0.3993,0.4444,0.6827,-1.5344,0.2676,0.1827,0.0166
frustrated,0.229,0.5323,0.1549,7.0013,0.2853,0.0442,0.0748
frustrated,0.3283,0.5173,0.1891,-2.5933,0.3317,0.0627,0.0318
frustrated,0.2823,0.5142,0.3495,9.9023,0.2878,0.1006,0.1035
frustrated,0.3354,0.5262,0.0208,-2.6023,0.2909,0.0061,0.031
frustrated,0.3372,0.4917,0.5191,-1.9753,0.2888,0.1499,0.0187
frustrated,0.4483,0.3321,0.0196,2.6475,0.1345,0.0026,0.0113
frustrated,0.3793,0.5847,0.0108,-1.787,0.3119,0.0034,0.0056
frustrated,0.2273,0.4999,0.0153,-0.0577,0.2336,0.0036,0.0112
frustrated,0.3815,0.5874,0.5387,-19.956,0.3046,0.1641,0.2042
frustrated,0.2577,0.5145,0.5412,-6.6272,0.3674,0.1988,0.0763
frustrated,0.2768,0.3786,0.0035,0.3317,0.2961,0.001,0.0009
frustrated,0.3879,0.4214,0.6223,5.0251,0.2283,0.1421,0.0453
frustrated,0.2132,0.2568,0.9765,-3.3202,0.1546,0.151,0.0273
frustrated,0.3927,0.4025,0.2971,1.7473,0.2157,0.0641,0.0145
frustrated,0.1848,0.4285,0.0179,0.5061,0.2671,0.0048,0.0035
frustrated,0.2206,0.4896,0.0805,-24.8251,0.2948,0.0237,0.2338
frustrated,0.3098,0.4714,0.1043,-8.9641,0.2821,0.0294,0.0935
frustrated,0.3431,0.5435,0.0078,8.322,0.317,0.0025,0.0901
frustrated,0.2569,0.2751,0.6467,-2.4998,0.1217,0.0787,0.0227
frustrated,0.3769,0.3001,0.6314,-22.464,0.14,0.0884,0.1113
frustrated,0.3747,0.4508,0.0233,7.2847,0.2385,0.0056,0.0731
frustrated,0.0493,0.3534,0.3751,-0.4076,0.3263,0.1224,0.0104
frustrated,0.212,0.4366,0.0486,7.2502,0.2305,0.0112,0.036
frustrated,0.2209,0.4636,0.1383,-2.6934,0.3146,0.0435,0.0369
frustrated,0.2869,0.3592,0.2273,-14.7898,0.2108,0.0479,0.0936
frustrated,0.4862,0.3592,0.6152,1.1917,0.0992,0.061,0.029
frustrated,0.3422,0.4117,0.2016,-2.0271,0.203,0.0409,0.0167
frustrated,0.3862,0.4306,0.8814,4.3381,0.2366,0.2085,0.026
frustrated,0.1998,0.4111,0.0674,-3.242,0.2046,0.0138,0.0382
frustrated,0.4325,0.3988,0.2394,-0.5866,0.2208,0.0529,0.0075
frustrated,0.0194,0.3289,0.5376,-0.1998,0.3051,0.1641,0.0124
frustrated,0.3024,0.481,0.4988,3.2622,0.2087,0.1041,0.0404
frustrated,0.4053,0.4518,0.6057,-2.8255,0.3071,0.186,0.0162
frustrated,0.1186,0.4716,0.1255,2.0185,0.2595,0.0326,0.0095
frustrated,0.3862,0.4038,0.0606,-3.1995,0.2143,0.013,0.0283
frustrated,0.2675,0.3805,0.0166,6.3287,0.3142,0.0052,0.0457
frustrated,0.1512,0.5592,0.4126,-5.3509,0.3671,0.1515,0.0685
frustrated,0.2385,0.4349,0.4769,0.9643,0.2979,0.1421,0.0091
frustrated,0.3506,0.3794,0.4023,-2.9235,0.2263,0.091,0.0252
frustrated,0.3121,0.3723,0.3562,10.1091,0.1977,0.0704,0.0714
frustrated,0.1568,0.3864,0.6787,-2.1908,0.3351,0.2275,0.0289
frustrated,0.058,0.4169,0.3737,-0.7495,0.2883,0.1077,0.0194
frustrated,0.2353,0.4509,0.0116,0.5806,0.2477,0.0029,0.014
frustrated,0.3077,0.4879,0.5858,7.2255,0.3094,0.1812,0.0376
frustrated,0.2382,0.3684,0.0328,-0.8998,0.1995,0.0066,0.021
frustrated,0.3794,0.5393,0.1958,-2.9129,0.3358,0.0658,0.0443
frustrated,0.433,0.3661,0.6805,3.4407,0.2266,0.1542,0.0084
frustrated,0.3979,0.444,0.2938,3.8742,0.2584,0.0759,0.0382
frustrated,0.3299,0.3991,0.5242,-0.8464,0.3409,0.1787,0.0147
frustrated,0.3243,0.5694,0.7054,2.9202,0.4055,0.2861,0.0202
frustrated,0.4573,0.4606,0.0572,7.0756,0.2277,0.013,0.0721
frustrated,0.3452,0.3586,0.0025,-1.7376,0.2122,0.0005,0.014
frustrated,0.2105,0.3668,0.9335,-15.8662,0.2806,0.2619,0.1321
frustrated,0.2428,0.3647,0.2645,-13.6639,0.2727,0.0721,0.0913
frustrated,0.2656,0.4143,0.0062,0.3251,0.2062,0.0013,0.0307
frustrated,0.1499,0.3687,0.4036,-22.598,0.1817,0.0733,0.1444
frustrated,0.3845,0.4632,0.0245,1.9002,0.2318,0.0057,0.0205
frustrated,0.3853,0.3827,0.0321,-3.0679,0.2287,0.0073,0.0277
frustrated,0.3127,0.5001,0.0112,-1.3559,0.3213,0.0036,0.012
frustrated,0.4086,0.3861,0.0672,25.8793,0.188,0.0126,0.1732
frustrated,0.3552,0.402,0.2552,10.4201,0.2062,0.0526,0.0642
frustrated,0.1523,0.4155,0.4177,-3.3658,0.2675,0.1117,0.0328
frustrated,0.2699,0.4436,0.1748,-0.1901,0.2643,0.0462,0.0128
frustrated,0.2745,0.4775,0.0065,-2.57,0.292,0.0019,0.0375
frustrated,0.279,0.2811,0.9079,-2.7703,0.225,0.2043,0.0171
frustrated,0.2888,0.5538,0.2959,-24.3896,0.3113,0.0921,0.2589
frustrated,0.2753,0.4326,0.279,0.285,0.2543,0.0709,0.0084
frustrated,0.3811,0.4034,0.0092,5.3703,0.207,0.0019,0.039
frustrated,0.2321,0.4241,0.0439,3.095,0.2039,0.0089,0.0046
frustrated,0.1451,0.2331,0.0595,-3.6913,0.1033,0.0061,0.0101
frustrated,0.3918,0.3634,0.2547,-7.3252,0.1893,0.0482,0.0405
frustrated,0.4205,0.4094,0.0087,-8.9423,0.2074,0.0018,0.0669
frustrated,0.2885,0.3349,0.7444,23.2777,0.2718,0.2023,0.1658
frustrated,0.2134,0.511,0.5849,-1.9334,0.3586,0.2097,0.0058
frustrated,0.2761,0.4937,0.3274,-8.4927,0.3523,0.1154,0.0796
frustrated,0.3795,0.374,0.0707,-5.4785,0.2216,0.0157,0.0394
frustrated,0.2554,0.5654,0.0158,-3.4597,0.2762,0.0044,0.0055
frustrated,0.2288,0.566,0.4835,1.121,0.3633,0.1756,0.0253
frustrated,0.3616,0.6777,0.01,-1.9196,0.4525,0.0045,0.0277
frustrated,0.3346,0.4114,0.0785,17.7603,0.2194,0.0172,0.1505
frustrated,0.3196,0.5159,0.0241,-15.9157,0.3024,0.0073,0.1474
frustrated,0.1523,0.4155,0.4177,-3.3658,0.2675,0.1117,0.0328
frustrated,0.1599,0.5571,0.009,-1.0128,0.3361,0.003,0.0146
frustrated,0.3008,0.3246,0.1424,-31.8955,0.2254,0.0321,0.1951
frustrated,0.2752,0.267,0.1563,11.1613,0.1775,0.0277,0.0493
frustrated,0.3,0.3432,0.0388,-4.1258,0.1463,0.0057,0.0218
frustrated,0.2242,0.3348,0.8724,7.1933,0.2634,0.2298,0.0693
frustrated,0.1212,0.4371,0.0059,2.2889,0.3334,0.002,0.0248
frustrated,0.0735,0.3764,0.598,-4.2162,0.2692,0.161,0.0357
frustrated,0.3074,0.5297,0.0079,2.693,0.2542,0.002,0.0008
frustrated,0.3787,0.3478,0.0538,-21.1899,0.179,0.0096,0.1331
